title,description,published,link,media
김민석 “다음 정부 용산 대통령실 사용? 국민 동의 안 할 것”,김민석 더불어민주당 수석 최고 위원 조기 대선 치르 차기 정부 사용 대통령 집무실 관련 정당 집권 느냐 떠나 장기 지속 대통령실 자리 용산 어야 ㄴ다는 대부분 국민 동의 라고,"Tue, 08 Apr 2025 02:03:35 +0000",https://www.chosun.com/politics/politics_general/2025/04/08/SR4XNLZ5SJD7NORBEC6AD4UG4E/,조선닷컴
"이정현 “6공화국 마지막 대선, 개헌 대통령 되겠다”",이정현 새누리당 국민 전신 대표 공화국 마지막 대통령 선거 만들 위하 대선 출마 ㄴ다고 밝히,"Tue, 08 Apr 2025 01:44:29 +0000",https://www.chosun.com/politics/politics_general/2025/04/08/JBQWGLCPX5D3NNZYMZBE37XWZY/,조선닷컴
"안철수, 대선 출마 선언 “시대교체, 국민통합 시대로”",국민 안철수 의원 서울 광화문광장 이순신 동상 기자 회견 국민 통합 시대교체 정직 사람 시대 나아가 다며 21 대통령 선거 출마 선언 도전 이재명 더불어민주당 대표 승리 유일 후보 라며 이기 대한민국 혁신 시키 정치 회복 다고 외치,"Tue, 08 Apr 2025 02:02:49 +0000",https://www.chosun.com/politics/politics_general/2025/04/08/SKTS4LIJWFDAPMFTWNBLTHMQOE/,조선닷컴
"정부, 6월 3일 대선일 확정… 임시공휴일로 지정",윤석열 대통령 파면 치르 21 대통령 선거일 화요일 확정,"Tue, 08 Apr 2025 01:36:02 +0000",https://www.chosun.com/politics/politics_general/2025/04/08/3Z2EO3SZT5BB7HYUO2YYKUYUE4/,조선닷컴
"민주 “헌법재판관 지명 韓대행, 정신 나가... 스스로 탄핵 유도”",더불어민주당 한덕수 대통령 권한 대행 대통령 헌법 재판관 지명 대하 위헌 행태 라며 강력 대응 라고 반발 민주당 의원 대행 향하 정신 나가 스스로 탄핵 유도 ㄴ다고,"Tue, 08 Apr 2025 01:33:00 +0000",https://www.chosun.com/politics/assembly/2025/04/08/QOTN4YNVURFBPGI7I7O3BQX6TE/,조선닷컴
"박찬대 “한덕수, 尹 탄핵 국민 뜻 받들어 마은혁 헌법재판관 임명해야”",더불어민주당 박찬대 원내 대표 한덕수 대통령 권한 대행 국무총리 마은혁 헌법 재판관 임명 ㄴ다고 재차 강조,"Tue, 08 Apr 2025 00:58:40 +0000",https://www.chosun.com/politics/politics_general/2025/04/08/KMMBT7JZFFCXNN3IUN4Z7HE7CU/,조선닷컴
"김문수, 오늘 장관직 사퇴… 대선 출마 전망",김문수 고용 노동부 장관 조기 대선 출마 선언 위하 장관 사퇴 ㄴ다 장관 여론 조사 보수 대선 후보군 지지 기록,"Tue, 08 Apr 2025 00:47:14 +0000",https://www.chosun.com/politics/politics_general/2025/04/08/X7VLKAH5VRCYRAK2BW6KXQUYFI/,조선닷컴
권성동 “세계 관세 전쟁에 특단 조치 필요… 10조 추경 계획 재검토해야”,국민 권성동 원내 대표 글로벌 관세 전쟁 대응 위하 정부 10 규모 추진 추가 경정 예산안 규모 늘리 어야 ㄴ다고 주장,"Tue, 08 Apr 2025 00:36:48 +0000",https://www.chosun.com/politics/assembly/2025/04/08/NRCKKWYRTZGKHJK6A6N24G5M4Q/,조선닷컴
이재명 싱크탱크 ‘성장과 통합’ 출범… 유종일·허민 공동대표,대선 이재명 더불어민주당 대표 지원 싱크탱크 역할 성장 통합 출범 ㄴ다 진보 성향 경제학자 알려지 유종일 한국개발연구원 KDI 국제 정책 대학원장 대표 는다,"Mon, 07 Apr 2025 09:47:14 +0000",https://www.chosun.com/politics/assembly/2025/04/07/A4JG5P4T6VBXHGTNQTX7IC4DCI/,조선닷컴
"김문수 “대선 출마, 여러가지 고심 중... 헌재 결정 승복 안할 수 없어”",김문수 고용 노동부 장관 대선 출마 대하 결심 내리 다며 여러 가지 깊이 고심 다고 밝히,"Mon, 07 Apr 2025 09:17:54 +0000",https://www.chosun.com/politics/politics_general/2025/04/07/OJWCJVYGWRCALAIIITOSWH2VYQ/,조선닷컴
"이철우 경북도지사, 9일 박정희 생가 방문 후 국회서 대선 출마 선언",이철우 경북 도지사 오후 국회 대통령 선거 출마 선언 ㄴ다 지사 본지 통화 오전 경북 구미 박정희 대통령 생가 방문 대선 출마 보고 오후 국회 출마 선언 다며 출마 당일 국회 기자 회견 통하 밝히 예정 라고,"Mon, 07 Apr 2025 06:20:25 +0000",https://www.chosun.com/politics/politics_general/2025/04/07/INC45B6OF5FUBGK4JHA3232WWE/,조선닷컴
"前국회의원 125명 “김문수, 대선 출마 의지 밝혀야”",전직 국회의원 125 김문수 고용 노동부 장관 국민 대선 출마 의지 조속히 밝히 어야 ㄴ다고 촉구,"Mon, 07 Apr 2025 05:56:45 +0000",https://www.chosun.com/politics/politics_general/2025/04/07/QQPE2CFET5GU7PQJJKV45PYD6M/,조선닷컴
"우원식 “민주·국힘, 개헌투표 동의... 국민투표법 개정하자""",우원식 국회 의장 국민 더불어민주당 대선 동시 개헌 투표 진행 동의 다며 국민 투표법 개정 서두르 자는 입장 밝히,"Mon, 07 Apr 2025 04:19:34 +0000",https://www.chosun.com/politics/assembly/2025/04/07/6RK67RTYZBFJJBFR4QSUJI6MQ4/,조선닷컴
우원식 공격하는 친명계 “개헌? 국회의장 놀이 중단하라”,우원식 국회 의장 대선 개헌 국민 투표 동시 실시 제안 더불어민주당 인사 지금 개헌 사람 꿍꿍이 다며 공격 나서 이재명 대표 대선 개헌 동시 투표 사실 반대 입장 밝히 면서 의장 개헌 찬성론자 향하 수박 비명 비하 부르 몰이 거세,"Mon, 07 Apr 2025 11:03:37 +0000",https://www.chosun.com/politics/assembly/2025/04/07/HH4S574SDVF63AJP4ZOFXM4U2Y/,조선닷컴
김두관 대선 출마 “개헌 대통령되겠다…임기 단축 2년도 받아들여”,김두관 더불어민주당 의원 대통령 선거 출마 다고 선언 의원 개헌 대통령 라는 이름 출마 결심 공화국 위하 임기 단축 ㄴ다면 기쁘 받아들이 다며 대한민국 전환 국가 개혁 위하 분권 중임 개헌 ㄴ다 라고,"Mon, 07 Apr 2025 02:21:03 +0000",https://www.chosun.com/politics/assembly/2025/04/07/P33PPKMHWNCQFHKQIWSSNLST2M/,조선닷컴
이재명 “개헌 필요하지만…지금은 내란종식이 먼저”,이재명 더불어민주당 대표 정치 나오 헌법 개정 요구 관련 개헌 필요 지금 내란 종식 먼저 라고,"Mon, 07 Apr 2025 01:49:07 +0000",https://www.chosun.com/politics/assembly/2025/04/07/N6H7TNCPLVBHHPRAFFYLNBDGUE/,조선닷컴
국민의힘 대선 경선 선관위원장에 황우여,국민 대선 경선 위하 선거 관리 위원장 황우여 비상 대책 위원장 임명,"Mon, 07 Apr 2025 01:22:45 +0000",https://www.chosun.com/politics/2025/04/07/YCXRLJFGYFD45FNEM7K6NDHGEU/,조선닷컴
당내서 尹 출당론 나오자... 윤상현 “시간 드리면 알아서 하실 것”,국민 윤상현 의원 국민 일각 윤석열 대통령 당적 정리 필요 다고 주장 관련 문제 스스로 해결 게끔 드리 아서 라고 의원 이날 기자 관련 질문 그분윤 대통령 부담 다라며 밝히 차기 대선 승리 위하 필요 다면 대통령 스스로 적절하 시기 당적 정리 다는 해석,"Mon, 07 Apr 2025 11:04:54 +0000",https://www.chosun.com/politics/politics_general/2025/04/07/RXIFKHHHINGR3AIGSSPJGILU2Q/,조선닷컴
권영세 “개헌안 마련해 대선 때 국민투표 부치는 방안 추진”,국민 권영세 비상 대책 위원장 국민 제대로 반영 개헌안 마련 대통령 선거일 국민 투표 부치 방안 추진 다고 밝히,"Mon, 07 Apr 2025 00:39:25 +0000",https://www.chosun.com/politics/2025/04/07/QMXLSAES5RFJ5AP5WHJNBWGQZE/,조선닷컴
